Name;Description;Sources;Search term used
Creates;"""Wij geloven dat de mens het verschil maakt, ook in de digitale wereld. Daarom creëren we dataplatformen én online belevingen zodat jij het verschil kan maken. Zo bouwen we bijvoorbeeld een dataplatform voor INretail en creëren we online kanalen voor de Hogeschool Utrecht. Hierbij is de gebruiker het uitgangspunt, of het nu de data consumer, website bezoeker, contentbeheerder of marketeer is. Zo maken we als digital partner de beleving van miljoenen mensen elke dag een beetje mooier.""";https://creates.nl/;"""Data ecosystem"""
Cross Media SND;"""Alle mediabedrijven zoeken al jaren naar mogelijkheden om samen een vuist te maken tegen de dominantie van Big Tech. Vijf grote Nederlandse mediaspelers, DPG Media, Mediahuis, de NPO, RTL en Talpa Network, hebben de handen ineengeslagen en onderzoeken samen de mogelijkheden voor een nieuwe data-infrastructuur. Uitgangspunt is daarbij dat de gebruiker eigenaar is van zijn data en zelf kan beslissen met wie welke gegevens gedeeld worden in een zogenaamde persoonlijke datakluis. """;Event;"""Personal data vaults"", via Solid"
Databricks;"""The Databricks Lakehouse Platform combines the best elements of data lakes and data warehouses to help you reduce costs and deliver on your data and AI initiatives faster. Built on open source and open standards, a lakehouse simplifies your data estate by eliminating the silos that historically complicate data and AI.""";https://www.databricks.com/;"""Data sharing"""
Databroker.global;"""DataBroker is a marketplace for secure peer-to-peer data exchange and monetization. It helps in connecting data producers and data consumers with a vision of unlocking the potential of vast amounts of data being generated and consumed across the globe. """;https://www.databroker.global/;"""Data broker"""
Datacollaboration;"""The Data Collaboration Alliance is a nonprofit that's dedicated to helping people and organizations get full control of their information. We see control (through the reduction of data silos and copy-based data integration) as the key to unlocking meaningful data ownership, simplified compliance, and super-efficient innovation.""";https://www.datacollaboration.org/hub;"""Data collaboration"""
Datarade;"""Find the right data, effortlessly. Data is essential to solving challenges in business, science, and society. Datarade Marketplace makes finding the right data easy. We've helped thousands of companies find the right data sources from our global network of data providers.""";https://about.datarade.ai/;"""Data broker/marketplace"""
DataVaults.eu;"""DataVaults aims to address this kind of concerns that pertain privacy, ethics and intellectual property rights , by allowing individuals to take ownership and control of their data and share them at will, through flexible data sharing and fair compensation schemes with other entities (companies or not).""";https://www.datavaults.eu/;"""Personal data vault"""
Datavillage;"""Datavillage Confidential Data Collaboration Platform (DCP) enables organizations to combine sensitive, proprietary or personal data through transparent governance. AI models are trained and applied in fully confidential environments ensuring that only derived data (insights) is shared.""";"Meetings 
https://www.datavillage.me/";"""Data collaboration"", via Solid"
Dawex;"""Dawex Data Exchange Platform is a fully customized white-label SaaS platform to distribute, source, commercialize and/or orchestrate data ecosystems. Dawex Data Exchange Platform incorporates a Data Exchange governance model encapsulating control and security, traceability, licensing and regulatory compliance. Operated in Managed, Distributed or Decentralized mode, supporting various data exchange business models (free, subscription, transactional, performance-based).""";"Gaia-x event
https://www.dawex.com/en/";"""Data broker/marketplace"""
Digita;"""Solid is the future. Digita shows you the way. We provide solutions so people, apps and organisations can easily participate in the Solid-based data web.""";"Meetings and events
https://www.digita.ai/";"""Personal data vault"", via Solid"
DocByte;"""Docbyte provides digital archiving services and intelligent document processing, for banks, insurance companies, and other knowledge worker organizations.""";"Project with DocByte
https://www.docbyte.com/";"""Data management"""
Domo;"""Leverage your entire business ecosystem and clouds. Amplify the value of your existing data and applications. Domo custom icon data integration. Break down data siloes. Connect to any source to make more data sources accessible. Domo custom icon data integration. Extract more value from your data. Find new insights by combining data across systems and sources.""";https://www.domo.com/;"""Data collaboration"""
Dropbox;Cloud storage provider;https://www.dropbox.com/;"""Data storage"""
EBSI Verifiable Credentials;"""The European Blockchain Services Infrastructure (EBSI) was born in 2018 when 29 countries (all EU members states, Norway and Liechtenstein) and the EU Commission have joined forces to create the European Blockchain Partnership (EBP). EBP’s vision is to leverage blockchain to create cross-border services for public administrations, businesses, citizens and their ecosystems to verify information and make services trustworthy.""";https://ec.europa.eu/digital-building-blocks/wikis/display/EBSI/Home;"""Data intermediary"""
Echobot;"""Echobot is a sales intelligence platform for compliant B2B data for European markets. Find the right prospects, accelerate sales pipeline and land your dream customers even faster.""";https://www.echobot.com/;"""Data broker/marketplace"""
Element61;"""We often hear the phrase “Data is the new oil (or gold)” or “Data is a key asset”, but if we are serious about this, then we need to start managing and governing our data more professionally. Most organizations are still relying too much on unstructured processes and manual interventions in Data Governance, whereas the technology, know-how and best practices to improve this are available. Achieving improved Data Quality can be automated and will lead to less operational issues, it will reduce manual efforts and will benefit the decisions we take. Addressing Master Data challenges, both in operational systems and the analytics environment will lead to a single view of the truth and more consistency in how we look at our data across functions & departments. Getting better visibility on our Metadata through a data catalog or business glossary will increase the understanding of our data estates and the communication about this with our colleagues.""";https://www.element61.be/en;"""Data management"""
ELINOR-X;"""ELINOR-X: This project presents the first Gaia-X implementation in Switzerland. The government of the City of Lucerne together with the Universities of Lucerne and Fribourg are piloting a new “data cooperative” model, which allows the public, private sectors, and citizens to contribute with data and get remunerated (financially or otherwise). Through this data cooperative, the government and other public service providers will be able to solve important and/or urgent issues that affect all its residents using data-driven decisions. The project initially aims to tackle the issue of data mobility asset optimization.""";https://gaia-x.eu/who-we-are/lighthouse-projects/;"""Data Space"", Via Gaia-X"
Enhansa;"""Enhansa facilitates the collaboration between ecosystem partners, such as SaaS companies and data providers""";"Meeting & project with Enhansa
https://www.enhansa.com/home";"""Data ecosystems"" ""Data collaboration"""
EONA-X;"""EONA-X: aims to provide a trusted environment to unlock data sets and foster mobility, transport and tourism use cases. A primary focus is the optimisation of multimodal trips to contribute to achieving the zero emission target defined by the EU Mobility Strategy. A powerful demonstrator was delivered based on real time data coming from real production systems of airline and rail industry.""";"https://eona-x.eu/
https://gaia-x.eu/who-we-are/lighthouse-projects/";"""Data Space"", Via Gaia-X"
European Production Giganet ;"""The European Production Giganet (EuProGigant): It is an Austrian-German lighthouse research project “for calamity avoiding self-orchestration of value chain and learning ecosystems” working on central questions related to the smart and sovereign use of data in manufacturing. Scheduled for the latter half of 2022, the project aims to deliver on machine connection and machine-oriented data processing using Gaia-X compliant edge architecture, thus creating resilience in the value creation ecosystem.""";"https://euprogigant.com/en/
https://gaia-x.eu/who-we-are/lighthouse-projects/";"""Data Space"", Via Gaia-X"
EuroPrivacy;"""Europrivacy has been approved by EDPB as European Data Protection Seal to assess and certify the compliance of all sorts of data processing under the GDPR and complementary national data protection regulations. It enables applicants to identify and reduce their risks, to demonstrate and value their compliance, and to enhance their reputation and market access. It is the only GDPR certification officially recognized in all EU Member States. """;https://www.europrivacy.org/;"""Data intermediary"""
Experianplc;"""We help to give our customers the power to assess, predict and to plan so you may achieve your goals and navigate your world with confidence. Our expertise in data, analytics and technologies, means we give answers, we create coherence and clarity from complexity.""";https://www.experianplc.com/;"""Data management"" ""ETL"""
Fivetran;"""Fivetran is the automated data movement platform moving data out of, into and across your cloud data platforms. We’ve automated the most time-consuming parts of the ELT process so your data engineers can focus on higher impact projects with total pipeline peace of mind.""";https://www.fivetran.com/;"""ETL"""
Fiware;"""FIWARE, the Open Source Platform for Our Smart Digital Future
A framework based around supplying a cornerstone function required in any smart solution: the need to manage context information, enabling to perform updates and bring access to context.""";https://www.fiware.org/;"""Data Space"", Via Gaia-X"
Gaia-X;"""Gaia-X is an initiative that develops, based on European values, a digital governance that can be applied to any existing cloud/ edge technology stack to obtain transparency, controllability, portability and interoperability across data and services. Gaia-X is not a market operator, nor will it operate directly or exclusively any of the services required by the governance.""";"Gaia-x event
https://gaia-x.eu/";"""Data space"""
GAIA-X4 Future Mobility;"""GAIA-X4 Future Mobility: A project family located in the mobility domain of the German Gaia-X Hub. The focus of the 6 projects is on the Gaia-X-based implementation of future mobility applications. Due to the product proximity of the applications, data-based networking with manufacturers, suppliers, service providers and users is particularly important. Around 80 players from all application, research and topic areas of mobility, especially information and communication technologies, are involved in GAIA-X4 Future Mobility.""";"https://www.gaia-x4futuremobility.de/
https://gaia-x.eu/who-we-are/lighthouse-projects/";"""Data Space"", Via Gaia-X"
Google Drive;Cloud storage provider;https://www.google.com/intl/en/drive/;"""Data storage"""
GreenDataHub;"""Data needs to be better and more standardized in its collection and exchange. Personal data must be managed more sovereignly and stored more securely. Machine data needs to be transferred more securely and shared in a value-added way. The Green Data Hub is the platform for Austrian and European actors to build a data service ecosystem for Green and Sustainable Data.""";https://www.greendatahub.at/?lang=en;"""Data ecosystem"""
HPE GreenLake;"""Turn your data into intelligence. Seeking a single source of truth about your customers to deliver recommendations right on time, every time? What if we told you that you can unify your data to deliver high-precision analytics, no matter where it lives, to unlock its value? Resolving your data disarray and turning it into intelligence is data-first modernization, wisely done.";https://www.hpe.com/us/en/solutions/data.html;"""Data management"""
HubSpot Operations;"""HubSpot is a CRM platform with all the software, integrations, and resources you need to connect marketing, sales, content management, and customer service. Each product in the platform is powerful on its own, but the real magic happens when you use them together.""";https://www.hubspot.com/products/operations;"""Data integration"" ""ETL"""
IBM App Connect;"""IBM App Connect is an industry-leading SaaS integration solution that connects any of your applications and data no matter where they reside. With hundreds of prebuilt connectors and customizable templates, organizations can rapidly connect SaaS applications and build integration flows. IBM App Connect can be deployed on-premises and on any cloud or aaS as a highly scalable, fully managed Integration Platform-as-a- Service (iPaaS) on Amazon Web Services (AWS).""";https://www.ibm.com/products/app-connect;"""ETL"""
IDSA;"""The International Data Spaces Association (IDSA) is on a mission to create the future of the global, digital economy with International Data Spaces (IDS), a secure, sovereign system of data sharing in which all participants can realize the full value of their data. IDS enables new ”smart services” and innovative business processes to work across companies and industries while ensuring that the self-determined control of data use (data sovereignty) remains in the hands of data providers.";"Gaia-X event, SolidLab contacts
https://internationaldataspaces.org/";"""Data space"" "
iGrant.io;"""iGrant.io is a consented data exchange platform that enables access to the right data for businesses while complying with regulations. It helps organisations (both private and public) to unlock the value of personal data using centralised and decentralised (Web 3.0) technologies. """;"SEMIC Workshop
https://igrant.io/index.html";"""Data sharing"" ""Personal data vault"""
Impaqtr;"""It is our mission to bring retailers and manufacturers closer through our data ecosystem Aurora where we structure and distribute business insights. Aurora is the ultimate?insights ecosystem?between retailers and manufacturers. By acting as a neutral insights provider, our platform can efficiently improve collaboration and results for both parties.""";"Meeting
https://impaqtr.com/";"""Data ecosystem"" ""Data intermediary"""
Inrupt;"""Inrupt drives commercial adoption of the W3C Solid Protocol, which is Sir Tim’s Web 3.0 approach to data and consent management. Inrupt’s enterprise-grade Solid software and services deliver a platform for personal online data stores (Pods). Pods are a user-centric method of storing and sharing data.""";"SolidLab contacts 
https://www.inrupt.com/1";"""Personal data storage"""
Integrate.io;Another integration platform;https://www.integrate.io/;"""Data integration"" ""ETL"""
Investdata.be;"""Activate your precious audience through sharp profiles & refined programs. As typical analytical tools reach their privacy limits, it's time to build a secure network around your users. Own the userdata you collect in a sustainable way through behavorial tracking & nextgen privacy tools.""";https://www.investdata.be/;"""Data integration"""
iShare;"""iSHARE is the trust framework for data spaces, enabling trust and data sovereignty generic and cross sector. iSHARE’s Satellites are autonomous data space coordinators, using iSHARE’s ledger for participant registration and discovery. Data Sovereignty is enabled by the Authorisation Registry providers in the iSHARE network, enabling to authorise third parties to company data throughout value chains. Building on EIDAS and personal Identity providers across Europe to create ultimate trust and data control.""";https://ishare.eu/nl/;"""Data sharing"""
ItsMe;"""Use itsme® at over 800 government platforms and companies to identify yourself online, log in, confirm transactions, or sign documents. A litany of passwords or card readers are no longer needed: one app for a wide range of applications at the highest security level.""";"Meeting
https://www.itsme-id.com/en-BE";"""Data intermediary"""
JobTech;"""JobTech Development is here for you who develops digital services, is eager to find new exciting collaborations or gain deeper insights into the labour market. On the platform you will find APIs, datasets, standards and open source code. All components are available free of charge for anyone to use. In addition, you can share data and code that others can benefit from.""";"SEMIC Conference & Workshop
https://jobtechdev.se/en";"""Data sharing"""
Keboola;"""Instead of separately selecting, acquiring, configuring and integrating endless list of technologies to build your data stack, Keboola gets you there in one platform. Stop working on your data infrastructure, and start using it instead.""";https://www.keboola.com/;"""Data integration"" ""ETL"""
Konsolidate;"""Konsolidate consists of a team of brave new developers, architects, strategists and analysts with one shared belief: people should gain control over their own personal data. With that in mind, we guide your business through the decentralized web revolution, powered by personal data vaults, linked open data and the semantic web. We co-create, accelerate and shape this decentralized future together with you and the best-in-class Solid development and consultancy.""";"Events 
https://www.konsolidate.eu/";"""Personal data vault"", via Solid"
MAGDA;"""Het MAGDA-platform zorgt er voor dat gegevens uit authentieke bronnen op een veilige manier opgehaald kunnen worden. Ontdek hier welke gegevens door de MAGDA-webdiensten aangeboden worden en hoe uw toepassingen en systemen op het MAGDA-platform aangesloten kunnen worden.""";Internship;"""Data sharing"""
Meeco;"""Unlock the power of permissioned personal data and digital assets with enterprise infrastructure that has privacy, security and convenience built in.
Reduce cost and meet data compliance requirements on a range of uses cases, from decentralised identity to digital asset management. Deploy new business models built on digital trust and evolve existing applications from Web2 to Web3 with our platform for personal identity and data ecosystems.""";"SEMIC Workshop
https://www.meeco.me/";"""Data ecosystem"" ""Personal data vault/wallet"""
Microsoft Azure Data sharing;"""Share data, in any format and any size, from multiple sources with other organizations. Easily control what you share, who receives your data, and the terms of use. Data Share provides full visibility into your data sharing relationships with a user-friendly interface. Share data in just a few clicks, or build your own application using the REST API.""";https://learn.microsoft.com/en-us/azure/data-share/overview;"""Data sharing"""
Microsoft Entra;"""Microsoft Entra encompasses all of Microsoft’s identity and access capabilities. The Entra family includes Microsoft Azure Active Directory (Azure AD), as well as two new product categories: Cloud Infrastructure Entitlement Management (CIEM) and decentralized identity. The products in the Entra family will help provide secure access to everything for everyone, by providing identity and access management, cloud infrastructure entitlement management, and identity verification.""";"Meeting
https://www.microsoft.com/en-us/security/business/microsoft-entra";"""Data intermediary"""
Mixpanel;"""With tools like Segment, you can send data by flipping a switch. We partner with a growing number of CDPs to seamlessly integrate analytics into any tech stack. You can stream data directly from any digital product using a Mixpanel SDK. Our developer documentation will guide you in choosing the best option for your infrastructure. Get trusted data from your warehouse using Reverse-ETL tools or our import API and democratize analysis on your source of truth for all teams.""";https://mixpanel.com/;"""Data analytics"""
Mobility Data Space (MDS);"""Mobility Data Space (MDS): The specific lighthouse project focuses on the future of the mobility sector that involves vehicle manufacturers to ride-share services, public transport operators as well as navigation software companies, research institutes, bike-sharing companies, and many more. One of the project´s key goals is to facilitate Gaia-X compliant data exchange to enable competition around innovative, environmentally sustainable, and user-friendly mobility – on equal and fair terms based on shared European values. The project is scheduled for implementation in the latter half of 2022.""";"https://mobility-dataspace.eu/
https://gaia-x.eu/who-we-are/lighthouse-projects/";"""Data Space"", Via Gaia-X"
Mulesoft;"""Connect and automate AI + Data + CRM across any system. Get a complete view of your customer with a trusted single source of truth. Connect data from any system and get real-time insights to deliver personalized experiences with the power of MuleSoft + AI.""";https://www.mulesoft.com/;"""ETL"""
MyDex;"""These prerequisites guided the evolution of Mydex: a Community Interest Company, a Social Enterprise and its range of trust platform services for citizen controlled storage and exchange of personal data, identity and engagement, in a safe, secure and easy manner. We are working to improve outcomes for individuals and organisations alike.""";https://mydex.org/;"""Personal data storage"""
Narrative;"""Break down data silos and get a unified view of your organization's data. With Narrative, all your data speaks the same language, making it easier to analyze and draw insights from your data.""";https://www.narrative.io/;"""Data collaboration"""
NextCloud;"""Nextcloud Hub is the industry-leading, fully open-source, on-premises content collaboration platform. Teams access, share and edit their documents, chat and participate in video calls and manage their mail and calendar and projects across mobile, desktop and web interfaces.""";https://nextcloud.com/;"""Data collaboration"" ""Data storage/management"""
Nielsen;"""Nielsen is a global leader in audience measurement, data and analytics, shaping the future of media. Measuring behavior across all channels and platforms to discover what audiences love, we empower our clients with trusted intelligence that fuels action.""";https://www.nielsen.com/;"""Data analytics"""
Nokia Data Marketplace;"""Through a Software-as-a-Service (SaaS) business model, our Nokia Data Marketplace platform offers enhanced automation, efficiency and scalability to CSPs and enterprises in a variety of industry verticals, including telco, government, energy, healthcare, transportation and logistics. With our SaaS model, customers also benefit from faster time-to-value, improved financial performance and greater business agility.""";https://www.nokia.com/networks/bss-oss/data-marketplace/;"""Data broker/marketplace"""
Omega-X;"""Omega-X: An Energy Data Space to boost the European data economy. This will include federated infrastructure, data marketplace and service marketplace, involving data sharing between different stakeholders and demonstrating its value for concrete energy use cases while guaranteeing scalability and interoperability with other data space initiatives.""";https://gaia-x.eu/who-we-are/lighthouse-projects/;"""Data Space"", Via Gaia-X"
OneDrive;Cloud storage provider;https://www.microsoft.com/nl-be/microsoft-365/onedrive/online-cloud-storage;"""Data storage"""
Opendatasoft;"""Quickly create the best data experiences. From collection to sharing, our all-in-one platform empowers everyone in your organization to quickly create new digital data experiences for all your internal and external audiences, from technical experts to consumers and citizens. Bring all your data together in one place. Industrialize your data retrieval by connecting our platform to your business apps and storage resources. Gather the data you need to start creating data experiences and get results quickly.""";https://www.opendatasoft.com/en/;"""Data sharing"""
Oracle GoldenGate;"""Oracle Cloud Infrastructure (OCI) GoldenGate is a managed service providing a real-time data mesh platform, which uses replication to keep data highly available, and enabling real-time analysis. Customers can design, execute, and monitor their data replication and stream data processing solutions without the need to allocate or manage compute environments.""";https://www.oracle.com/be/integration/goldengate/;"""Data management"" ""ETL"""
Prometheus-X;""" Welcome to the collaborative platform to build the Data Space Education and Skills (DASES) within the GAIA-X initiative. This platform presents the general progress of this work and the different use cases. It is implemented by the public interest association Prometheus-X and based on the open source project decidim.org.""";"Meeting
https://prometheus-x.org/";"""Data Space"", Via Gaia-X"
PubHubs;"""PubHubs is an abbreviation for ‘Public Hubs’, a safe and trusted online environment managed by public organizations and their end users. Together with partners of the PublicSpaces coalition, PubHubs wants to enable these organizations to facilitate their own online communities (Hubs). These Hubs are responsible for the moderation of communication and content within their own Hub. In addition, PubHubs wants to facilitate connections between organizations so that they can work together on online projects.""";"Research Meeting
https://pubhubs.net/";"""Data spaces"" ""Data ecosystem"", via Solid"
Public Spaces;"""PublicSpaces is a unique coalition of public organisations in public media, cultural heritage, festivals, museums and education. We are working together to reclaim the internet as a force for the common good and advocating a new internet that strengthens the public domain. With a select few large organizations that control much of the internet and make their money using our data, it has become increasingly urgent to develop alternatives. Read our manifesto to see the values we want to see at the core of our digital lives.""";"Event/Meeting
https://publicspaces.net/english-section/";"""Data spaces"" ""Data ecosystem"", via Solid"
Qlik;"""Turn raw data into informed action – in one platform. Seize every business moment with our end-to-end data integration and analytics cloud platform. Shift from a passive set of tools to an active system built to deliver real-time information and drive immediate action.""";https://www.qlik.com/us/products/qlik-data-integration;"""Data integration"" ""ETL"""
RawLabs;"""Build Data APIs, Fast! Platform to build and host APIs that aggregate, join and transform data in real-time. Supports operational databases, data lakes, and web services.""";https://raw-labs.com/;"""Data sharing"""
RetailSonar;"""Objective, accurate, fast and flexible – that is what RetailSonar offers in a nutshell. Get an answer to all your strategic network and geomarketing questions. We combine the most recent customer and market data to accurately map your market. We can also analyse and forecast evolutions for you, by linking this to marketing and sales models. In a simple and user-friendly platform that shows you all your data at a glance. So you are well equipped to make well-informed decisions in our fast-changing world.""";"Meeting
https://retailsonar.com/nl";"""Data analytics"""
Revelate;"""Data discovery, internal sharing, cross-listing, and monetization: Revelate is the only platform that does it all. We’ll work with you to identify, package, secure, and distribute your data.""";https://revelate.co/;"""Data ecosystem"""
Savaco;"""Data is the new gold, mine it. Data is the new gold, the oil that keeps the digital transformation engine running. And, much like oil, data can be refined to create a valuable raw material. It’s not the raw data that will help you to make decisions and create a smarter, more data-driven business model, but the insights that you distil from those data.""";https://www.savaco.com/en/solution/data-analytics;"""Data management"""
Scuba;"""Unify Streaming Event Data & Activate Customer Interactions in Seconds within Your Cloud. Scuba delivers where existing data analytics fall short. Scuba ingests data directly at the edge to provide actionable visual intelligence within seconds. Reduce costs and generate revenue with a modern approach to analytics.""";https://www.scuba.io/;"""Data ecosystem"""
Simpatico Citizen Data Vault;"""Citizen Data Vault – CDV is a Personal Data Service and Repository that enables citizen to gather, store, update, correct, analyse, and share personal data. The tool provides a set of secure APIs and a “Data Dashboard” with the goal to manage and control “personal data” during the interaction with real life services (PA, Social, IoT, B2C).""";https://simpatico-project.com/?page_id=78;"""Personal data vault"""
Skyflow;"""What if privacy had an API? Skyflow Data Privacy Vault delivers security, compliance, and data residency. Deploy via VPC, BYOK, our cloud or yours.""";https://www.skyflow.com/product/pii-data-privacy-vault;"""Data sharing"" ""Data vault"""
Smart Connected Supplier Network (SCSN);"""Smart Connected Supplier Network (SCSN): It is an open data lighthouse ecosystem along the lines of Gaia-X that enables data sharing in a manufacturing environment, resulting in fast, safe, secure, and efficient data exchange within the high-tech supply chain. Brainport Industries is one of the leading partners in this project. As part of the project scope, the team will facilitate new application clusters within SCSN and will scale up SCSN – from a content perspective – towards different industries.""";"https://smart-connected.nl/en
https://gaia-x.eu/who-we-are/lighthouse-projects/";"""Data Space"", Via Gaia-X"
SnapLogic;"""With over 700 Snaps to choose from, SnapLogic makes it easy to create simple workflows or complex business processes between cross-functional work groups. Enable your organization to automate entire ecosystems of applications, databases, APIs, data warehouses, devices, and more.""";https://www.snaplogic.com/;"""Data integration"" ""ETL"""
Snowflake Marketplace;"""Snowflake Marketplace offers a wide variety of data, data services, and applications from some of the world’s leading companies. From public health and financial market data to identity resolution services and SaaS applications, Snowflake Marketplace offers something for nearly every business need. """;https://app.snowflake.com/marketplace/;"""Data sharing"""
Snowflake Platform;"""A single, global platform that powers the Data Cloud. Snowflake is uniquely designed to connect businesses globally, across any type or scale of data and many different workloads, and unlock seamless data collaboration.""";https://www.snowflake.com/en/data-cloud/platform/;"""Data sharing"""
Sogeti;"""Informatie, inzicht, voorspellen en voorschrijven. Help klanten gerichter, speel direct in op marktontwikkelingen en verbeter werkprocessen met Data & Business Analytics (DA) oplossingen. Hiermee wordt data uit jouw organisatie en big data (van buiten jouw organisatie) omgezet naar informatie, inzichten, voorspellingen en voorschrijvingen.""";https://www.sogeti.nl/services/data-services-en-oplossingen;"""Data ecosystem"""
Structura-X;"""Structura-X: A lighthouse project for European cloud infrastructure endeavours to enable existing Cloud Service and Infrastructure Providers (CSP) data and infrastructure services to be Gaia-X certifiable. The goal is to create an ecosystem of independent CSPs, orchestrated by a shared layer of federation certification and labelling services based on Distributed Ledger Technology (DLT). The success will be measured through a set of Minimal Viable Products (MVPs), which shall be fully portable and interoperable between different CSPs and certified by Gaia-X or a delegated certification authority.""";"https://gaia-x.eu/news/latest-news/structura-x-lighthouse-project-for-european-cloud-infrastructure-is-launched-concrete-implementation-and-alignment-with-the-gaia-x-roadmap-of-compatible-services/
https://gaia-x.eu/who-we-are/lighthouse-projects/";"""Data Space"", Via Gaia-X"
